"filename", "language", "JavaScript", "CSS", "XML", "JSON", "Markdown", "HTML", "SCSS", "Properties", "comment", "blank", "total"
"e:\MERN-School-Management-System\frontend\src\components\TableViewTemplate.js", "JavaScript", 63, 0, 0, 0, 0, 0, 0, 0, 0, 2, 65
"e:\MERN-School-Management-System\frontend\src\components\attendanceCalculator.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 8, 60
"e:\MERN-School-Management-System\frontend\src\components\buttonStyles.js", "JavaScript", 95, 0, 0, 0, 0, 0, 0, 0, 0, 10, 105
"e:\MERN-School-Management-System\frontend\src\components\mobileChecker.js", "JavaScript", 22, 0, 0, 0, 0, 0, 0, 0, 17, 3, 42
"e:\MERN-School-Management-System\frontend\src\components\styles.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 1, 5, 74
"e:\MERN-School-Management-System\frontend\src\index.css", "CSS", 0, 75, 0, 0, 0, 0, 0, 0, 6, 14, 95
"e:\MERN-School-Management-System\frontend\src\index.js", "JavaScript", 14, 0, 0, 0, 0, 0, 0, 0, 0, 1, 15
"e:\MERN-School-Management-System\frontend\src\pages\ChooseUser.js", "JavaScript", 154, 0, 0, 0, 0, 0, 0, 0, 0, 13, 167
"e:\MERN-School-Management-System\frontend\src\pages\Homepage.js", "JavaScript", 68, 0, 0, 0, 0, 0, 0, 0, 3, 10, 81
"e:\MERN-School-Management-System\frontend\src\pages\LoginPage.js", "JavaScript", 217, 0, 0, 0, 0, 0, 0, 0, 0, 16, 233
"e:\MERN-School-Management-System\frontend\src\pages\Logout.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 13, 74
"e:\MERN-School-Management-System\frontend\src\pages\admin\AdminDashboard.js", "JavaScript", 155, 0, 0, 0, 0, 0, 0, 0, 0, 17, 172
"e:\MERN-School-Management-System\frontend\src\pages\admin\AdminHomePage.js", "JavaScript", 94, 0, 0, 0, 0, 0, 0, 0, 0, 11, 105
"e:\MERN-School-Management-System\frontend\src\pages\admin\AdminProfile.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 76, 11, 105
"e:\MERN-School-Management-System\frontend\src\pages\admin\AdminRegisterPage.js", "JavaScript", 202, 0, 0, 0, 0, 0, 0, 0, 0, 16, 218
"e:\MERN-School-Management-System\frontend\src\pages\admin\SideBar.js", "JavaScript", 82, 0, 0, 0, 0, 0, 0, 0, 0, 4, 86
"e:\MERN-School-Management-System\frontend\src\pages\admin\classRelated\AddClass.js", "JavaScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 11, 120
"e:\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ClassDetails.js", "JavaScript", 260, 0, 0, 0, 0, 0, 0, 0, 6, 25, 291
"e:\MERN-School-Management-System\frontend\src\pages\admin\classRelated\ShowClasses.js", "JavaScript", 181, 0, 0, 0, 0, 0, 0, 0, 4, 20, 205
"e:\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\AddNotice.js", "JavaScript", 70, 0, 0, 0, 0, 0, 0, 0, 0, 11, 81
"e:\MERN-School-Management-System\frontend\src\pages\admin\noticeRelated\ShowNotices.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 11, 102
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\AddStudent.js", "JavaScript", 125, 0, 0, 0, 0, 0, 0, 0, 0, 17, 142
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\SeeComplains.js", "JavaScript", 62, 0, 0, 0, 0, 0, 0, 0, 0, 9, 71
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\ShowStudents.js", "JavaScript", 188, 0, 0, 0, 0, 0, 0, 0, 5, 21, 214
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\StudentAttendance.js", "JavaScript", 184, 0, 0, 0, 0, 0, 0, 0, 0, 13, 197
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\StudentExamMarks.js", "JavaScript", 169, 0, 0, 0, 0, 0, 0, 0, 0, 12, 181
"e:\MERN-School-Management-System\frontend\src\pages\admin\studentRelated\ViewStudent.js", "JavaScript", 386, 0, 0, 0, 0, 0, 0, 0, 36, 33, 455
"e:\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ShowSubjects.js", "JavaScript", 102, 0, 0, 0, 0, 0, 0, 0, 0, 13, 115
"e:\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\SubjectForm.js", "JavaScript", 167, 0, 0, 0, 0, 0, 0, 0, 0, 16, 183
"e:\MERN-School-Management-System\frontend\src\pages\admin\subjectRelated\ViewSubject.js", "JavaScript", 191, 0, 0, 0, 0, 0, 0, 0, 0, 20, 211
"e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\AddTeacher.js", "JavaScript", 91, 0, 0, 0, 0, 0, 0, 0, 0, 15, 106
"e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseClass.js", "JavaScript", 72, 0, 0, 0, 0, 0, 0, 0, 0, 10, 82
"e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ChooseSubject.js", "JavaScript", 99, 0, 0, 0, 0, 0, 0, 0, 0, 8, 107
"e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\ShowTeachers.js", "JavaScript", 156, 0, 0, 0, 0, 0, 0, 0, 0, 13, 169
"e:\MERN-School-Management-System\frontend\src\pages\admin\teacherRelated\TeacherDetails.js", "JavaScript", 56, 0, 0, 0, 0, 0, 0, 0, 0, 8, 64
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentComplain.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 10, 116
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentDashboard.js", "JavaScript", 112, 0, 0, 0, 0, 0, 0, 0, 0, 6, 118
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentHomePage.js", "JavaScript", 120, 0, 0, 0, 0, 0, 0, 0, 0, 16, 136
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentProfile.js", "JavaScript", 100, 0, 0, 0, 0, 0, 0, 0, 0, 6, 106
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentSideBar.js", "JavaScript", 61, 0, 0, 0, 0, 0, 0, 0, 0, 3, 64
"e:\MERN-School-Management-System\frontend\src\pages\student\StudentSubjects.js", "JavaScript", 128, 0, 0, 0, 0, 0, 0, 0, 0, 15, 143
"e:\MERN-School-Management-System\frontend\src\pages\student\ViewStdAttendance.js", "JavaScript", 171, 0, 0, 0, 0, 0, 0, 0, 0, 20, 191
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherClassDetails.js", "JavaScript", 161, 0, 0, 0, 0, 0, 0, 0, 0, 17, 178
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherComplain.js", "JavaScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherDashboard.js", "JavaScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 9, 125
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherHomePage.js", "JavaScript", 89, 0, 0, 0, 0, 0, 0, 0, 0, 10, 99
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherProfile.js", "JavaScript", 39, 0, 0, 0, 0, 0, 0, 0, 0, 8, 47
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherSideBar.js", "JavaScript", 57, 0, 0, 0, 0, 0, 0, 0, 0, 4, 61
"e:\MERN-School-Management-System\frontend\src\pages\teacher\TeacherViewStudent.js", "JavaScript", 198, 0, 0, 0, 0, 0, 0, 0, 0, 18, 216
"e:\MERN-School-Management-System\frontend\src\redux\complainRelated\complainHandle.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\MERN-School-Management-System\frontend\src\redux\complainRelated\complainSlice.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeHandle.js", "JavaScript", 20, 0, 0, 0, 0, 0, 0, 0, 0, 2, 22
"e:\MERN-School-Management-System\frontend\src\redux\noticeRelated\noticeSlice.js", "JavaScript", 38, 0, 0, 0, 0, 0, 0, 0, 0, 4, 42
"e:\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassHandle.js", "JavaScript", 87, 0, 0, 0, 0, 0, 0, 0, 0, 12, 99
"e:\MERN-School-Management-System\frontend\src\redux\sclassRelated\sclassSlice.js", "JavaScript", 88, 0, 0, 0, 0, 0, 0, 0, 0, 4, 92
"e:\MERN-School-Management-System\frontend\src\redux\store.js", "JavaScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 3, 21
"e:\MERN-School-Management-System\frontend\src\redux\studentRelated\studentHandle.js", "JavaScript", 49, 0, 0, 0, 0, 0, 0, 0, 0, 6, 55
"e:\MERN-School-Management-System\frontend\src\redux\studentRelated\studentSlice.js", "JavaScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 57
"e:\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherHandle.js", "JavaScript", 44, 0, 0, 0, 0, 0, 0, 0, 0, 6, 50
"e:\MERN-School-Management-System\frontend\src\redux\teacherRelated\teacherSlice.js", "JavaScript", 52, 0, 0, 0, 0, 0, 0, 0, 0, 4, 56
"e:\MERN-School-Management-System\frontend\src\redux\userRelated\userHandle.js", "JavaScript", 106, 0, 0, 0, 0, 0, 0, 0, 0, 15, 121
"e:\MERN-School-Management-System\frontend\src\redux\userRelated\userSlice.js", "JavaScript", 96, 0, 0, 0, 0, 0, 0, 0, 0, 7, 103
"Total", "-", 13401, 19772, 2094, 48500, 174, 16650, 2509, 1, 2989, 5430, 111520
